cateegory,odia_word,desia_word
ଅ,ଅକଲ୍‌ , ବୁଦ୍ଧି / ସୂରତା 
ଅ,ଅକଲ୍‌ ଗୁଢୁମ୍‌ , ବୁଦ୍ଧି ବାନା
ଅ,ଅଖ , ଇରଷୁ 
ଅ,ଅଗଣା , ଦୁଆର ଠାନ୍‌ 
ଅ,ଅଗ୍ର , ଟିପ୍‌ 
ଅ,ପାହାଡ଼ର ଅଗ୍ର , କୂପଲିଟିପ୍‌
ଅ,ଅଚଳ , ନାଚଳବାଟା 
ଅ,ଅଛନ୍ତି , ଆଚତ୍‌ 
ଅ,ଅଜଣା , ନାଜାନ୍‌ବାଟା 
ଅ,ଅଟକାଇ , ଥେବାଇ 
ଅ,ଅଟା , ଗମ୍ଚୁନା 
ଅ,ଅଟ୍ଟାଳିକା , ମେଡ଼ଘର 
ଅ,ଅଠା , ଚପ୍‌ 
ଅ,ଅଣ ଓସାରିଆ , ଅଳପ୍‌ଓସାର 
ଅ,ଅଣା , ଆନା 
ଅ,ଅତର , ବାସନା ଚିକନ୍‌ 
ଅ,ଅତି ଉଜ୍ଵଳ , ବଡେ ଉଜଲ୍‌ 
ଅ,ଅତିଥି , ଗତିଆ ଲୋକ / ନୂଆଲୋକ 
ଅ,ଅତିପାଖ ,  ଏକବାର ଲଗେ 
ଅ,ଅତି ଦରକାରୀ , ବେଶିଲୋଡା 
ଅ,ଅତ୍ୟନ୍ତ , ବଡ଼େଜବର୍‌ 
ଅ,ଅତ୍ୟାଚାର , ଦଣ୍ଡ 
ଅ,ଅଥଚ , ଏଟାହେଲେ ମିଶା 
ଅ,ଅଦଳ ବଦଳ , ବାଦଲ ଉଦଲ୍‌ 
ଅ,ଅଦାଲତ୍‌ , କରଟ୍‌ବାଟ୍‌ 
ଅ,ଅଧିର , ଥିରନାହିଁ 
ଅ,ଅନାଥ , ଟୂରା 
ଅ,ଅନାଅ , ଦେଖ୍ବାଟା 
ଅ,ଅନ୍ୟ , ଭିନ ଲୋକ 
ଅ,ଅନ୍ୟଦ୍ଵାରା , ଭିନ୍ନଲୋକ୍‌ ଦ୍ଵାରା 
ଅ,ଅନ୍ୟମନସ୍କ , ଏନେ ତେନେ ଭାବଟା 
ଅ,ଅନ୍ୟମାନେ , ଭିନ୍‌ଲୋକ ମନ୍‌ 
ଅ,ଅନ୍ୟୁନ , ଉନାରେ 
ଅ,ଅନୁଭବ , ମନେଚିତାଇବାଟା 
ଅ,ଅନୁଯାୟୀ , ଅନୁସାରେ 
ଅ,ଅନୁରୋଧ , ଖୁସାମତୀ 
ଅ,ଅନୁଷ୍ଠାନ , ଅନୁଷ୍ଠାନ୍ 
ଅ,ଅନୁଷ୍ଠିତ , ହେଇରେଦାଟା 
ଅ,ଅନେଇଥିବା , ଜଗିରେଇସି 
ଅ,ଅନେକ ଗୁଡ଼ିଏ , ଜବର୍‌ 
ଅ,ଅପକାର , ନସାଇବା 
ଅ,ଅପରପାର୍ଶ୍ଵରେ , ଉଲଟାବାଟେ 
ଅ,ଅପରାଧ , ଖରାପ ଧାନ୍ଦା 
ଅ,ଅପରାହ୍ନ , ଆଡ଼ବେଲା 
ଅ,ଅବସ୍ଥିତ , ଆଚେ 
ଅ,ଅବଶିଷ୍ଟ , ଊବର୍‌ଲାଟା 
ଅ,ଅବଶ୍ଯ , ଯେନତି ହେଲେ ମିଶା 
ଅ,ଅଭିଭାବକ , ବୁଆଆୟା 
ଅ,ଅଭ୍ୟାସ , ଅଭିୟାସ୍‌ 
ଅ,ଅମର , ନାମରବାଟା 
ଅ,ଅମ୍ଳ , ଆମଟି 
ଅ,ଅମୃତ , ଅମରୁତ୍‌ 
ଅ,ଅମୃତଭଣ୍ଡା , ଅମୃତମାଣ୍ଡା 
ଅ,ଅମଙ୍ଗ , ରାଜି ନାହେବାଟା 
ଅ,ଅଯଥା , କାଇକାରନ୍‌ନାରେସ 
ଅ,ଅର୍ଥ , ଡାବୁ 
