odia_word,desia_word,desia_sentence
ଅକଲ୍‌ , ବୁଦ୍ଧି / ସୂରତା ,  ତୋକେ ସୂର୍ତା ଆଚେ କି ?
ଅକଲ୍‌ ଗୁଢୁମ୍‌ , ବୁଦ୍ଧି ବାନା, ତାର୍‌ ବୁଝି ବାନା ହେଲା |
ଅଖ , ଇରଷୁ ,  ଇରଷୁ ଭାଙ୍ଗିଜାଇସି ଜବର୍‌ ବୋଜ୍‌ ନାକରା |
ଅଗଣା , ଦୁଆର ଠାନ୍‌ , ଦୁଆର୍‌ ଠାନେ ଗୋଟେକ୍‌ ତୁଲସୀ ବୁଟା ଅଚେ |
ଅଗ୍ର , ଟିପ୍‌ ,  କୁପଲି ଟିପେ ମଜୁର୍‌ ମନ୍‌ ବସା କର୍ଲାୟେ ଆଚତ୍‌ |
ପାହାଡ଼ର ଅଗ୍ର , କୂପଲିଟିପ୍‌,
ଅଚଳ , ନାଚଳବାଟା , ଏବେ ଅନା ପର୍କା ମନ୍‌ ନା-ଚଲେ |
ଅଛନ୍ତି , ଆଚତ୍‌ , ଖମ୍ନେ ଜନୁନଜିଆଦ୍‌ ମନ୍‌ ଅଚତ୍‌ |
ଅଜଣା , ନାଜାନ୍‌ବାଟା , ତୁଇ ନାଜାନ୍‌ବାଟା ମନ୍‌ଇତି ନାସାଙ୍ଗ |
ଅଟକାଇ , ଥେବାଇ ,  ଚଇତ୍‌ ମାସେ ପିଲା ଟକିମନ୍‌ ବସ୍‌ଗାଡ଼ି ସାଇକେଲ୍‌ କେ ଥେବାଇ କରି ପାଜର୍‌ ମାଗ୍ବାୟେ |
ଅଟା , ଗମ୍ଚୁନା , ଆୟା ଗମ୍ଚୁନାର୍‌ ପିଟା ତିଆର୍‌ କଲା ଆଚେ |
ଅଟ୍ଟାଳିକା , ମେଡ଼ଘର ,  ଜୟପୂର୍‌ ଥାନେ ବଡ଼୍‌ ବଡ଼୍‌ ମେଡ଼୍‌ ଘର୍‌ ମନ୍‌ ଆଟେ |
ଅଠା , ଚପ୍‌ ,  ଫନସ୍‌ କାଟ୍ଲେ ଚପ୍‌ ଭାର୍‌ସି |
ଅଣ ଓସାରିଆ , ଅଳପ୍‌ଓସାର , ସେ ଗାଉଁକେ ଯିବାପାଇଁ ଖିଣ୍ଡେକ୍‌ ପାରା ଓସାର୍‌ ବାଟ୍‌ ଆଚେ |
ଅଣା , ଆନା ,  ପୂରବେ ଆନା ମନ୍‌ ଚଲତେରେଲା |
ଅତର , ବାସନା ଚିକନ୍‌ ,  (ତେଲ ସଂପକିତ) ସେ ବାସ୍ନା ତେଲ୍‌ ମୁଣ୍ତେ ଲଗାୟ୍୍‌ଲା ଆଚେ |
ଅତି ଉଜ୍ଵଳ , ବଡେ ଉଜଲ୍‌ , ପୁନି ଜନ୍‌ ବଡ଼େ ଉଜଲ୍‌ ଦିଶସି |
ଅତିଥି , ଗତିଆ ଲୋକ / ନୂଆଲୋକ , ଆଜି ଆମର୍‌ ଘରେ ଗତିଆ ଲୋକ୍‌ ଆୟବାଯ୍‌ |
ଅତିପାଖ ,  ଏକବାର ଲଗେ ,  ଅମର୍‌ ଏକ୍ବାର୍‌ ଲଗେ ନଳ୍କୂଅ ଆଟେ |
